method   dim   r   noise      obj   time   etaL        etaS
base   1000   50   1e-01   2133.43  3      2.34e+00    3.87e+00
ADMM   1000   50   1e-01   2133.46  8      2.34e+00    3.87e+00
base   1000   50   1e-02   350.04  4      3.59e-01    6.06e-01
ADMM   1000   50   1e-02   350.07  9      3.59e-01    6.06e-01
base   1000   50   1e-03   196.27  5      3.68e-02    7.19e-02
ADMM   1000   50   1e-03   196.29  26      3.68e-02    7.20e-02
base   1000   50   1e-04   179.47  10      3.70e-03    7.38e-03
ADMM   1000   50   1e-04   179.49  38      3.70e-03    7.32e-03
base   2000   50   1e-01   6028.95  12      2.41e+00    7.65e+00
ADMM   2000   50   1e-01   6029.02  50      2.41e+00    7.66e+00
base   2000   50   1e-02   966.83  14      3.63e-01    1.01e+00
ADMM   2000   50   1e-02   966.86  49      3.63e-01    1.01e+00
base   2000   50   1e-03   517.81  18      3.68e-02    1.18e-01
ADMM   2000   50   1e-03   517.88  95      3.68e-02    1.17e-01
base   2000   50   1e-04   472.57  29      3.69e-03    1.20e-02
ADMM   2000   50   1e-04   472.63  111      3.69e-03    1.18e-02
base   5000   50   1e-01   23831.70  115      2.46e+00    1.90e+01
ADMM   5000   50   1e-01   23831.88  755      2.46e+00    1.90e+01
base   5000   50   1e-02   3786.80  132      3.66e-01    2.29e+00
ADMM   5000   50   1e-02   3787.12  319      3.66e-01    2.29e+00
base   5000   50   1e-03   270.82  183      2.14e-01    2.14e-01
ADMM   5000   50   1e-03   270.93  1041      2.16e-01    2.15e-01
base   5000   50   1e-04   1808.80  195      3.96e-03    2.54e-02
ADMM   5000   50   1e-04   1809.01  1204      3.96e-03    2.49e-02
base   10000  50   1e-01   67391.20  549      2.47e+00    3.80e+01
ADMM   10000  50   1e-01   67392.10  2637      2.47e+00    3.81e+01
base   10000  50   1e-02   10695.74  638      3.68e-01    4.44e+00
ADMM   10000  50   1e-02   10696.07  2378      3.68e-01    4.44e+00
base   10000  50   1e-03   5586.82  687      3.69e-02    4.70e-01
ADMM   10000  50   1e-03   5587.62  3360      3.69e-02    4.66e-01
base   10000  50   1e-04   5077.41  859      3.69e-02    4.75e-02
ADMM   10000  50   1e-04   5078.12  4684      3.69e-02    4.45e-02
