method   dim   r   noise      obj   time   svd    order
base   10000   20   1e-01   50937.17  212   191   18 
over   10000   20   1e-01   50937.17  143   121   19 
ADMM   10000   20   1e-01   50937.17  2136   0   0 
base   10000   20   1e-02   8757.45  218   195   19 
over   10000   20   1e-02   8757.45  125   102   20 
ADMM   10000   20   1e-02   8757.45  1348   0   0 
base   10000   20   1e-03   5380.34  214   192   19 
over   10000   20   1e-03   5380.34  84   62   19 
ADMM   10000   20   1e-03   5380.34  2866   0   0 
base   10000   20   1e-04   5051.67  293   261   28 
over   10000   20   1e-04   5051.67  115   83   28 
ADMM   10000   20   1e-04   5051.68  4713   0   0 
base   10000   50   1e-01   55210.36  213   191   19 
over   10000   50   1e-01   55210.36  176   152   20 
ADMM   10000   50   1e-01   55210.36  2259   0   0 
base   10000   50   1e-02   8825.83  215   191   21 
over   10000   50   1e-02   8825.83  177   153   21 
ADMM   10000   50   1e-02   8825.83  1353   0   0 
base   10000   50   1e-03   5410.91  250   222   24 
over   10000   50   1e-03   5410.91  100   72   24 
ADMM   10000   50   1e-03   5410.91  3023   0   0 
base   10000   50   1e-04   5085.69  322   283   34 
over   10000   50   1e-04   5085.69  122   82   34 
ADMM   10000   50   1e-04   5085.70  4948   0   0 
base   20000   20   1e-01   143561.51  1176   1081   84 
over   20000   20   1e-01   143561.51  959   858   86 
ADMM   20000   20   1e-01   143561.55  13535   0   0 
base   20000   20   1e-02   24634.46  1201   1109   80 
over   20000   20   1e-02   24634.46  674   577   82 
ADMM   20000   20   1e-02   24634.46  6205   0   0 
base   20000   20   1e-03   15188.24  1219   1122   85 
over   20000   20   1e-03   15188.24  546   443   89 
ADMM   20000   20   1e-03   15188.24  14525   0   0 
base   20000   20   1e-04   14261.44  1417   1300   102 
over   20000   20   1e-04   14261.44  578   457   105 
ADMM   20000   20   1e-04   14268.49  18050   0   0 
base   20000   50   1e-01   144553.74  1203   1110   81 
over   20000   50   1e-01   144553.74  946   849   83 
ADMM   20000   50   1e-01   144553.77  13697   0   0 
base   20000   50   1e-02   24820.64  1176   1089   75 
over   20000   50   1e-02   24820.64  958   864   79 
ADMM   20000   50   1e-02   24820.64  5692   0   0 
base   20000   50   1e-03   15308.97  1193   1099   82 
over   20000   50   1e-03   15308.97  451   353   84 
ADMM   20000   50   1e-03   15308.97  11913   0   0 
base   20000   50   1e-04   14295.16  1611   1490   104 
over   20000   50   1e-04   14295.16  448   325   104 
ADMM   20000   50   1e-04   14296.71  18060   0   0 
base   50000   20   1e-01   565588.16  14515   13935   505 
over   50000   20   1e-01   565588.16  4865   4283   508 
ADMM   50000   20   1e-01   569555.35  18786   0   0 
base   50000   20   1e-02   97361.97  14242   13650   516 
over   50000   20   1e-02   97361.97  5240   4642   520 
ADMM   50000   20   1e-02   98340.77  20011   0   0 
base   50000   20   1e-03   60021.45  14765   14165   524 
over   50000   20   1e-03   60021.45  3036   2422   531 
ADMM   50000   20   1e-03   60094.34  20086   0   0 
base   50000   20   1e-04   56330.71  14576   13974   523 
over   50000   20   1e-04   56330.71  3061   2448   530 
ADMM   50000   20   1e-04   57792.19  19914   0   0 
base   50000   50   1e-01   566760.33  14632   14064   490 
over   50000   50   1e-01   566760.33  5049   4476   494 
ADMM   50000   50   1e-01   570747.77  19502   0   0 
base   50000   50   1e-02   97512.62  14248   13708   457 
over   50000   50   1e-02   97512.62  6019   5469   467 
ADMM   50000   50   1e-02   98496.99  19295   0   0 
base   50000   50   1e-03   60054.15  14616   14047   490 
over   50000   50   1e-03   60054.15  4112   3528   499 
ADMM   50000   50   1e-03   60119.00  19930   0   0 
base   50000   50   1e-04   56358.82  17141   16477   571 
over   50000   50   1e-04   56358.82  2496   1819   578 
ADMM   50000   50   1e-04   57793.98  20080   0   0 
